x,y,z
49720.22,85000,9366
55735.22,114700,7766
58688.62,122100,9128
57928.41,118100,10170
50723.81,99000,9350
59005.4,121800,10424
64789.39,116700,33128
52330.99,98500,19280
48389.27,106200,7500
46522.29,103100,16868
59047.15,106900,11410
69602.13,116200,28370
51919.71,104500,7332
59048.32,112000,34092
49132.68,104600,7924
65084.81,105800,5674
69074.33,115800,10158
51732.17,99000,7624
48616.43,112000,25280
52450.53,115400,8522
42159.88,108800,8050
48705.91,106800,7889
50351.38,96800,14400
61757.88,113500,17805
45548.96,98800,8100
63550.03,127000,40870
56884.69,120900,24468
61306.22,112000,24120
51329.59,103400,24440
42416.87,98800,7961
73950.46,108000,34754
75484.4,111500,34498
66849.57,96000,30384
81448.64,154400,45390
81648.78,110900,38430
74683.78,125900,9001
59070.9,88700,6577
68064.96,106600,7016
61867.44,100300,7022
53295.09,89700,6311
73036.4,102400,6437
66954.9,105600,6452
52850.08,87400,6355
64055.44,90200,6569
65686.13,94800,6872
77601.85,139700,13431
76621.08,122600,13951
78085.65,117500,13252
72896.84,133900,12763
68292.12,111900,13527
76397.62,134400,13530
73046.19,124800,13968
78075.09,120100,13461
73437.32,121700,47260
79890.85,102900,31690
66943.92,93300,28470
82855.72,140800,49045
79219.91,105400,42550
53503.12,98800,27954
82806.61,148400,50649
72379.02,85800,35666
57400.36,99000,7195
67082.29,103400,38560
63313.83,92900,30471
71662.94,109100,30920
78631.93,122200,42795
80580.15,101800,38750
71756.45,118300,44258
59943.9,91500,35944
89560.16,91000,32608
75275.66,130400,49248
73811.67,104500,42314
69255.78,98400,29064
72621.06,115200,42934
79068.51,122600,48342
71269.62,114800,32400
76544.99,143500,47620
68599.2,113000,44900
68953.33,113000,6976
79883.39,123600,44586
77495.51,97900,6476
82472.56,117200,42634
76498.11,101200,26480
88589.14,105500,7378
93581.09,131300,45300
79153.99,136200,49152
55586.54,100100,25200
84232.87,112400,42930
75511.05,99600,7330
75891.29,97500,30050
76787.41,139100,50277
78788.61,117900,41360
73825.46,105700,43280
60713.37,94400,36408
50726.71,95400,8574
74050.41,105500,8692
70639.18,108800,7692
81327.65,121200,11091
74353.28,133900,17353
73818.06,114500,10558
78120.26,124900,44178
61685.3,101200,7600
56304.4,95200,7474
71857.86,97100,6420
72445.43,103100,8166
74280.35,109200,33710
54713.6,97000,8282
68547.81,96400,8451
63241.6,92600,30850
75579.11,101100,9300
80999.86,125000,13366
82221.8,105000,36460
77310.15,106600,35650
67090.63,89300,16510
87986.1,109500,42270
"7,460,793,236,200",0,
74581.97,91800,9600
75345.96,149800,47600
60801.87,89200,7531
84189.75,119800,12520
70367.14,83600,25020
81657.17,125200,43103
65746.56,88300,15604
85677.46,129400,50435
82187.36,141600,48611
58621.88,92600,28800
78627.36,99900,35200
62518.63,117900,6368
68211.73,113400,40020
52786.24,96600,5785
63066.25,104700,4831
63843.09,107100,16830
60028.37,92800,13030
68086.59,119400,39290
58110.89,109000,6556
60789.21,117200,31460
60914.47,121500,6507
60120.16,127700,6381
"71,124,131,945,724",0,
62628.24,114000,6394
62876.89,113000,27660
64221.06,106500,27150
58397.57,117700,6410
56846.82,92400,27960
60101.07,95500,22840
71934.52,109200,27044
58249.91,84500,11040
52491.75,87900,19754
55372.47,89000,24792
54753.42,105300,6360
46480.92,93300,3453
52181.09,88300,5490
56704.76,99700,5360
69033.68,91000,18500
70464.52,117900,31996
67048.19,99000,25878
50342.2,93500,3971
55979.92,96100,6011
63670.68,118900,31320
80509.92,138000,46314
53364.82,86500,5594
77933.64,140300,12204
49591.36,96700,5262
68382.02,114300,9170
62772.56,108900,6273
72190.32,105600,8974
71225.06,125200,11622
63654.05,85100,3551
67164.94,121700,34450
61675.05,97800,26742
73815.08,114000,33800
58219.12,99500,21990
75577.26,95300,20266
71588.69,106400,34970
54220.88,84700,5644
65365.08,96900,20846
59357.86,99700,20710
62186.38,93800,18000
57353.47,99300,6297
66454.08,94500,6143
65588.3,97400,28012
72476.63,96600,21780
59308.27,92600,7332
71646.27,106700,11164
58298.66,104600,6876
54125.14,106100,7020
49266.88,93900,7224
59470.41,105600,28150
58959.59,104000,3830
72806.39,115500,43960
77796.79,99000,22080
